p	mean	conf_05	conf_95	trace_00	trace_01	trace_02	trace_03	trace_04	trace_05	trace_06	trace_07	trace_08	trace_09	trace_10	trace_11	trace_12	trace_13	trace_14	trace_15	trace_16	trace_17	trace_18	trace_19	trace_20	trace_21	trace_22	trace_23	trace_24	trace_25	trace_26	trace_27	trace_28	trace_29	trace_30	trace_31	trace_32	trace_33	trace_34	trace_35	trace_36	trace_37	trace_38	trace_39	trace_40	trace_41	trace_42	trace_43	trace_44	trace_45	trace_46	trace_47	trace_48	trace_49
0.75758	0.05549	0.02923	0.0967346802353859	0.04834	0.03391	0.03590	0.03508	0.09523	0.05605	0.11029	0.02811	0.05748	0.03545	0.04021	0.02943	0.04442	0.02940	0.03735	0.03430	0.03512	0.13794	0.03738	0.04102	0.04762	0.04671	0.04896	0.04269	0.04377	0.04122	0.02413	0.26070	0.03355	0.04566	0.05213	0.13866	0.02681	0.02936	0.04206	0.03608	0.02708	0.03952	0.08779	0.04598	0.04631	0.05352	0.05160	0.05567	0.05077	0.21932	0.03823	0.04117	0.01318	0.04194
0.76768	0.05723	0.02884	0.07809607684612274	0.03998	0.02913	0.04550	0.02884	0.09854	0.05790	0.07790	0.03890	0.05311	0.04026	0.04263	0.03136	0.03908	0.04905	0.03032	0.03219	0.07083	0.04016	0.04067	0.03945	0.05622	0.04991	0.03835	0.04424	0.03229	0.06786	0.03209	0.39497	0.02882	0.03648	0.04638	0.06438	0.03858	0.02604	0.04177	0.04528	0.04682	0.02777	0.05866	0.01920	0.04347	0.04795	0.04736	0.07985	0.04300	0.28744	0.10942	0.03575	0.01383	0.03153
0.77778	0.07038	0.03369	0.09055016189813614	0.05987	0.05803	0.03665	0.05402	0.04153	0.04884	0.08994	0.05276	0.05421	0.03902	0.04038	0.02158	0.05081	0.03367	0.03426	0.06090	0.04557	0.03370	0.05465	0.05270	0.04650	0.06302	0.05954	0.04230	0.03680	0.19508	0.03636	0.18174	0.05630	0.06481	0.06294	0.06449	0.05071	0.04107	0.04218	0.03661	0.02826	0.03088	0.07268	0.05665	0.05683	0.07088	0.05976	0.03642	0.05409	0.72994	0.04366	0.09608	0.10557	0.03360
0.78788	0.05589	0.03202	0.07564613223075867	0.05894	0.03461	0.06031	0.02930	0.04296	0.02367	0.06810	0.03081	0.05286	0.05452	0.05837	0.04621	0.03487	0.05895	0.05279	0.03633	0.05095	0.07557	0.05880	0.08906	0.06594	0.06644	0.04038	0.03782	0.06100	0.08898	0.05854	0.15895	0.03216	0.06369	0.04578	0.05731	0.02581	0.07119	0.05634	0.06225	0.05703	0.06098	0.07631	0.02352	0.03509	0.06940	0.05954	0.08471	0.05039	0.06803	0.05302	0.04708	0.03519	0.06354
0.79798	0.05680	0.03046	0.08652175217866898	0.03912	0.05982	0.06024	0.02748	0.04005	0.05013	0.05675	0.05740	0.08637	0.05439	0.05917	0.02402	0.05138	0.03599	0.05288	0.04993	0.13851	0.02790	0.06024	0.04521	0.03832	0.03920	0.06587	0.06269	0.06199	0.05811	0.06044	0.09343	0.03074	0.06164	0.05204	0.05117	0.05056	0.06249	0.05667	0.06269	0.05022	0.02389	0.03720	0.04869	0.03320	0.06865	0.03908	0.13293	0.05136	0.06817	0.08788	0.11003	0.07730	0.02628
0.80808	0.05714	0.03106	0.08623375743627548	0.06917	0.03928	0.03549	0.05586	0.05377	0.08060	0.08605	0.03290	0.14219	0.03247	0.03785	0.04042	0.03138	0.05025	0.06093	0.06079	0.04871	0.03114	0.06896	0.04537	0.04094	0.04325	0.07961	0.04017	0.03424	0.08397	0.07094	0.07078	0.06455	0.03628	0.10008	0.05645	0.02742	0.08787	0.03961	0.07135	0.01856	0.02557	0.04246	0.04532	0.06422	0.04430	0.04329	0.05164	0.05230	0.03037	0.12944	0.16086	0.02776	0.06975
0.81818	0.05631	0.03030	0.08021283149719238	0.07260	0.07832	0.03356	0.05258	0.04048	0.06841	0.09700	0.07314	0.07000	0.06754	0.03573	0.05018	0.06717	0.04797	0.02560	0.03865	0.04946	0.07376	0.02854	0.04260	0.07496	0.08567	0.04178	0.07997	0.03339	0.06400	0.03972	0.02947	0.06959	0.03302	0.04931	0.06493	0.02546	0.06551	0.06909	0.03307	0.08238	0.02364	0.04074	0.03039	0.03371	0.04253	0.06245	0.09018	0.06271	0.05949	0.06598	0.16172	0.04784	0.03972
0.82828	0.06296	0.02920	0.08933314681053162	0.06544	0.05945	0.06636	0.03948	0.05155	0.06663	0.05103	0.06590	0.03612	0.05484	0.03259	0.08624	0.02599	0.06658	0.05797	0.04920	0.11994	0.05874	0.02423	0.03660	0.03419	0.03783	0.07448	0.07124	0.03147	0.06420	0.01675	0.03033	0.06402	0.02928	0.04632	0.04961	0.05701	0.27856	0.06194	0.03058	0.07725	0.04105	0.03766	0.03445	0.03044	0.03934	0.03780	0.06231	0.26775	0.02716	0.11720	0.05017	0.02844	0.20455
0.83838	0.09873	0.03211	0.1017753928899765	0.07711	0.03431	0.07608	0.05561	0.05805	0.06006	0.12356	0.03136	0.04406	0.04670	0.07716	0.02361	0.02755	0.04111	0.02311	0.10048	0.11343	0.06711	0.03429	0.03767	0.08079	0.08988	0.08720	0.08515	0.08293	0.08119	0.09315	0.03889	0.03234	0.07214	0.06130	0.06395	0.06782	0.29070	0.07280	0.03220	0.08608	0.19454	0.03953	0.02352	0.07512	0.04242	0.06439	0.03603	0.06825	0.03636	0.05745	0.05472	0.07433	1.59887
0.84848	0.12975	0.02748	0.11240079998970032	0.07366	0.05490	0.03083	0.10034	0.05183	0.02571	0.06138	0.07952	0.03358	0.22098	0.03372	0.02596	0.07263	0.03555	0.02087	0.04077	0.06303	0.06000	0.35618	0.06620	0.08154	0.03988	0.08321	0.07960	0.08092	0.08795	0.02660	0.08715	0.03550	0.02757	0.04766	0.08225	0.02375	0.32702	0.03359	0.03121	0.02921	1.51653	0.04116	0.03263	0.07544	0.09050	0.06293	0.03407	0.04276	0.05622	0.06644	0.09719	0.03917	1.62022
