p	mean	conf_05	conf_95	trace_00	trace_01	trace_02	trace_03	trace_04	trace_05	trace_06	trace_07	trace_08	trace_09	trace_10	trace_11	trace_12	trace_13	trace_14	trace_15	trace_16	trace_17	trace_18	trace_19	trace_20	trace_21	trace_22	trace_23	trace_24	trace_25	trace_26	trace_27	trace_28	trace_29	trace_30	trace_31	trace_32	trace_33	trace_34	trace_35	trace_36	trace_37	trace_38	trace_39	trace_40	trace_41	trace_42	trace_43	trace_44	trace_45	trace_46	trace_47	trace_48	trace_49
0.25253	3.26134	3.26957	3.6594204902648926	3.44993	3.57363	3.34016	3.33768	3.46982	3.38726	3.31320	3.29413	3.66108	3.73341	3.42466	3.63234	3.29268	3.46954	3.26827	3.62810	3.35970	3.43896	3.70558	3.80515	3.26971	3.35372	3.24853	3.65924	3.46568	3.51315	3.28318	3.24467	3.42493	3.23152	3.39616	3.34609	3.53946	3.45108	3.59335	3.32605	3.76203	3.54565	3.40146	3.47476	3.60704	3.20465	3.60569	3.44764	3.49484	3.34557	3.47568	3.36794	3.38321	3.60968
0.26263	3.20177	3.22056	3.6129512786865234	3.37827	3.49754	3.28757	3.28484	3.37619	3.34160	3.25082	3.25023	3.60691	3.62354	3.36630	3.61177	3.22783	3.41163	3.22966	3.49966	3.27352	3.41360	3.63521	3.74051	3.20850	3.30288	3.21525	3.68542	3.42515	3.43828	3.22115	3.20681	3.35298	3.18749	3.33974	3.28548	3.47535	3.37130	3.53664	3.27995	3.68908	3.41994	3.32653	3.35764	3.52961	3.16798	3.57873	3.31708	3.36730	3.28189	3.41049	3.28040	3.32008	3.58225
0.27273	3.14479	3.17981	3.54054856300354	3.29696	3.41315	3.23633	3.24128	3.29765	3.28640	3.19813	3.20826	3.54002	3.51276	3.30240	3.55896	3.18078	3.33465	3.19195	3.34661	3.18674	3.33855	3.53153	3.66996	3.16403	3.25389	3.18082	3.72928	3.35335	3.34902	3.16494	3.17110	3.30527	3.14217	3.25354	3.23710	3.38815	3.29761	3.47410	3.23507	3.59902	3.31549	3.25222	3.23902	3.44314	3.13296	3.47541	3.22257	3.24931	3.22860	3.33061	3.19225	3.26538	3.54529
0.28283	3.09089	3.12768	3.4512271881103516	3.24206	3.31195	3.19669	3.19716	3.22956	3.23492	3.15444	3.16839	3.45039	3.40208	3.24408	3.45874	3.13550	3.25731	3.16191	3.21103	3.12948	3.23614	3.39810	3.59840	3.12393	3.20876	3.15310	3.75643	3.27005	3.26666	3.12121	3.12809	3.25809	3.10167	3.16304	3.19348	3.32410	3.23648	3.39888	3.20056	3.52984	3.20689	3.18119	3.15511	3.36460	3.10796	3.34631	3.15472	3.14697	3.18396	3.22858	3.12323	3.22559	3.49011
0.29293	3.03997	3.07946	3.309001922607422	3.19030	3.21102	3.15485	3.15157	3.16281	3.18662	3.10227	3.12759	3.33906	3.27864	3.17975	3.30566	3.10042	3.19822	3.11595	3.12274	3.07388	3.13791	3.27622	3.52972	3.09795	3.16461	3.10835	3.78895	3.19459	3.20174	3.06687	3.08435	3.23523	3.05418	3.08017	3.15870	3.25201	3.17803	3.29249	3.15623	3.46903	3.20771	3.12280	3.08103	3.28563	3.05989	3.17992	3.10035	3.08008	3.13384	3.12245	3.06917	3.18743	3.38230
0.30303	2.99145	3.02805	3.2082393169403076	3.13570	3.12564	3.10541	3.11010	3.11026	3.14093	3.05915	3.09056	3.23535	3.18333	3.13308	3.16970	3.06390	3.14978	3.09082	3.07678	3.03597	3.06664	3.17906	3.47712	3.07004	3.11521	3.07114	3.79432	3.12884	3.15229	3.03228	3.07296	3.20523	3.00413	3.01540	3.12535	3.19261	3.12906	3.19961	3.12011	3.41185	3.14470	3.06634	3.02869	3.20114	3.02230	3.04122	3.05556	3.02185	3.09432	3.05377	3.01309	3.14447	3.27384
0.31313	2.94263	2.97315	3.1623127460479736	3.08253	3.06715	3.08832	3.06908	3.05892	3.10153	3.02949	3.04197	3.16142	3.12290	3.08225	3.07419	3.02733	3.09509	3.04000	3.01689	3.01842	3.01302	3.10570	3.42950	3.04435	3.08328	3.04229	3.68775	3.08011	3.09341	2.97333	3.02808	3.15361	2.93737	2.97152	3.08128	3.13045	3.08231	3.11956	3.08413	3.35838	3.08489	3.03173	2.99975	3.22799	2.99976	2.93589	3.01213	2.95010	3.05548	2.99747	2.96355	3.12116	3.17033
0.32323	2.89135	2.93897	3.11971378326416	3.02817	3.03201	3.05945	3.03128	2.99808	3.04896	2.97391	3.00438	3.10824	3.07050	3.01908	3.00135	2.97570	3.05651	3.01979	2.95630	2.97173	2.98232	3.05272	3.38680	3.00311	3.04396	2.98101	3.44190	3.03622	3.03275	2.94109	3.00095	3.14752	2.88708	2.91193	3.05328	3.08755	3.05037	3.06838	3.05226	3.30787	3.02643	2.99230	2.94780	3.19481	2.95937	2.88238	2.96957	2.91995	3.01480	2.96709	2.90322	3.11662	3.08937
0.33333	2.83567	2.89101	3.111677646636963	2.99832	2.99262	3.00051	2.99510	2.95577	3.00319	2.94706	2.96889	3.06201	3.03983	2.98661	2.93583	2.93437	3.05356	2.98259	2.89257	2.93718	2.93912	3.01865	3.34997	2.97637	2.98880	2.92641	3.20765	2.99526	2.99970	2.89218	2.95465	3.11813	2.79973	2.88045	3.02961	3.04187	3.01412	3.02437	3.02137	3.26032	2.96875	2.93774	2.91358	3.16851	2.91449	2.82397	2.93458	2.85280	2.95180	2.95492	2.84344	3.11096	3.02801
0.34343	2.77423	2.83113	3.0438148975372314	2.96079	2.90614	2.99989	2.97148	2.91495	2.95196	2.88285	2.94315	3.02125	3.01535	2.92219	2.86363	2.91219	2.99949	2.92225	2.89362	2.90348	2.87640	2.99051	3.31877	2.94256	2.95946	2.88752	3.04194	2.94822	2.94012	2.82509	2.90042	3.07913	2.73280	2.83180	2.99580	2.98707	2.95298	2.98310	3.00502	3.21423	2.91028	2.91155	2.89403	3.14922	2.84673	2.75208	2.89279	2.80688	2.88456	2.90261	2.78754	3.06073	3.00005
0.35354	2.70556	2.78134	3.0218827724456787	2.91524	2.92272	2.94785	2.91077	2.84863	2.91526	2.85150	2.86647	2.98485	2.96416	2.87175	2.78460	2.86573	3.04090	2.89485	2.87443	2.86134	2.83854	2.96789	3.29333	2.92787	2.91184	2.81399	2.93597	2.90366	2.88331	2.77828	2.81367	3.01977	2.63589	2.78168	2.96939	2.94721	2.90368	2.93297	2.96660	3.16813	2.85058	2.87325	2.85237	3.13748	2.80647	2.67788	2.83680	2.76470	2.83985	2.87538	2.71073	3.05428	2.95349
0.36364	2.62715	2.71100	2.9587512016296387	2.87426	2.89015	2.95142	2.88882	2.79741	2.85927	2.79467	2.82639	2.95145	2.96719	2.81551	2.72624	2.81767	3.06145	2.84915	2.86447	2.80644	2.74397	2.94991	3.27306	2.88854	2.85670	2.76059	2.84801	2.83943	2.81376	2.71124	2.76294	2.95781	2.52940	2.70886	2.92832	2.90148	2.87399	2.90477	2.92404	3.11974	2.78932	2.80288	2.80568	3.13169	2.73913	2.60690	2.77827	2.69263	2.79569	2.85523	2.64801	2.95491	2.91891
0.37374	2.53895	2.63923	2.937037944793701	2.83479	2.81933	2.92102	2.84110	2.72939	2.79594	2.73041	2.76831	2.92002	2.95238	2.77262	2.66802	2.76645	3.06971	2.79377	2.86927	2.78431	2.67462	2.93533	3.25717	2.85086	2.77771	2.67520	2.74175	2.78942	2.74430	2.62409	2.69985	2.90516	2.40423	2.64091	2.88537	2.87267	2.82102	2.86107	2.86997	3.06721	2.72809	2.76910	2.71837	3.12400	2.65771	2.49863	2.69614	2.60183	2.75956	2.79410	2.55727	2.75542	2.86048
0.38384	2.44204	2.53007	2.921529769897461	2.80734	2.76442	2.89492	2.78050	2.65187	2.70320	2.64420	2.69395	2.88907	2.92960	2.72758	2.56960	2.71197	2.97608	2.71075	2.88430	2.71259	2.53084	2.92063	3.24378	2.82103	2.71987	2.59280	2.71865	2.71874	2.66956	2.52319	2.59735	2.82338	2.19012	2.59168	2.79242	2.82242	2.76316	2.81896	2.79885	3.00944	2.67098	2.69235	2.64528	3.09827	2.58484	2.33948	2.63516	2.50988	2.74243	2.72337	2.45863	2.63499	2.82239
0.39394	2.33843	2.41400	2.8806469440460205	2.76301	2.67512	2.87042	2.72326	2.58332	2.61338	2.58215	2.62137	2.85586	2.92743	2.68387	2.43396	2.63204	2.80787	2.66575	2.87855	2.65445	2.33366	2.89948	3.22944	2.75475	2.65170	2.54019	2.59576	2.67734	2.58134	2.41086	2.48861	2.68960	2.02200	2.52175	2.69323	2.77998	2.69186	2.77845	2.72828	2.94576	2.62229	2.61998	2.51214	3.05297	2.46416	2.19138	2.49386	2.41435	2.75911	2.61039	2.36621	2.45325	2.77555
0.40404	2.22989	2.30983	2.8401424884796143	2.75136	2.61522	2.81729	2.61061	2.51497	2.56674	2.50159	2.55648	2.81583	2.88267	2.62549	2.30326	2.58284	2.83748	2.57344	2.79284	2.50489	2.14605	2.86409	3.21288	2.68170	2.57008	2.40188	2.42682	2.60507	2.50358	2.31056	2.32298	2.55965	1.81681	2.42357	2.58195	2.71578	2.61794	2.73684	2.65011	2.87660	2.58829	2.51619	2.41385	3.00832	2.36546	1.95728	2.32275	2.33413	2.82965	2.50887	2.25605	2.32567	2.72144
0.41414	2.12053	2.15281	2.811314105987549	2.72381	2.47497	2.73908	2.59042	2.41810	2.46363	2.37144	2.44017	2.76235	2.83982	2.52519	2.11229	2.50985	2.90062	2.53419	2.59418	2.41458	1.75243	2.80815	3.20310	2.64538	2.47738	2.25562	2.26944	2.53806	2.44144	2.13772	2.16351	2.45173	1.55124	2.34555	2.45493	2.63339	2.55080	2.69743	2.59389	2.80322	2.57936	2.36077	2.26990	2.97393	2.26493	1.72183	2.18584	2.28947	2.93608	2.39788	2.15448	2.17857	2.65828
