I	POP	POPCI	NOPOP	NOPOPCI	POPS	POPCIS	NOPOPS	NOPOPCIS
380	4103.421948	916.7046335	3455.627026	343.1833187	3812.466785	757.6644572	3334.100629	646.5532937
390	3562.438477	735.9255309	3588.775061	734.0899126	3777.05399	770.5159781	3324.486383	737.6954732
400	3399.432129	792.3892458	3061.123117	865.9018847	3719.902297	799.706104	3233.233853	724.1894818
410	4047.923657	730.2794421	3777.335461	664.1034945	3713.954433	829.655014	3273.021078	724.5455684
420	3815.343188	673.1103324	2928.808356	653.5206645	3749.771464	825.5425906	3227.768403	769.1475176
430	3946.241309	697.5775588	3192.934753	618.5204871	3768.726743	821.3629984	3333.394589	826.0516472
440	3890.945178	993.8137584	3397.941547	890.0363954	3728.423915	824.9438301	3349.641429	888.9369624
450	3219.528323	911.0662863	3041.259882	653.0539646	3721.218023	762.0847357	3342.652693	857.9978734
460	3363.74494	972.0827057	3299.846472	868.0384044	3723.095139	775.1613994	3376.702468	859.9710356
470	4262.825842	705.6049017	3505.819406	931.7151894	3654.979526	746.3307596	3373.611697	840.6033414
480	3929.074866	648.0327796	3562.565475	994.945442	3732.169702	728.9127429	3202.246479	833.1101735
490	3704.424341	719.0625487	3290.415793	995.8323788	3626.655916	734.8267681	3313.502965	756.455848
500	3847.709827	616.6591923	3356.009131	704.4018611	3639.984606	731.1727494	3294.086191	756.204616
510	3230.791016	989.5262686	3245.558533	664.8929379	3616.215822	742.6285085	3228.778469	784.5714461
520	2955.051267	799.0988666	3281.301843	751.8322393	3677.731846	742.78752	3281.13232	769.5610643
530	4725.966894	601.0968014	2477.628098	886.7561822	3726.995202	742.4192809	3187.82673	763.7013964
540	3295.992151	683.5169312	4230.104395	535.019489	3481.607716	852.805134	3216.017029	740.8517735
550	3784.396484	697.1384363	3173.915146	994.3249869	3556.898998	892.1637208	3016.609411	784.1539281
560	3705.097119	685.3937468	2964.162799	874.6028415	3470.510783	926.0556595	2967.9624	794.0373721
570	3599.887158	990.4803377	3559.681641	574.8306471	3459.193441	911.0289089	2878.323976	773.9218673
580	3250.631406	796.8894318	2721.468304	716.674232	3435.365821	922.0768056	2767.90502	785.6367895
590	3253.641976	1263.41192	2646.769891	749.6584445	3447.711876	927.8585948	2851.884373	802.5888243
600	3747.739844	919.6684526	3033.658682	794.8324167	3517.065595	897.0173183	2892.014708	801.6305902
610	3266.067197	900.4900682	2882.033081	1053.625651	3495.562146	829.9917872	2915.974387	773.8026207
620	3637.193066	595.2332435	2426.332255	753.9098125	3624.909386	796.8392646	2944.340544	708.6922573
630	3456.921439	1056.767718	2897.167908	645.1201802	3595.415359	791.7228283	3036.685244	736.1024716
640	3324.707733	831.5801668	3225.344421	818.3864408	3683.664286	710.5230511	2980.580509	766.7033013
650	3669.764288	1078.364261	2887.551898	743.9090398	3762.814392	703.0578957	2939.430286	797.838581
660	3618.719153	517.5152656	3177.41676	627.8645999	3856.705612	663.8715063	2974.69652	787.2594748
670	4042.150635	701.5749329	3052.230023	662.9634704	3912.248719	747.4403589	3037.523105	761.4087282
680	3460.228906	564.5346256	2980.400453	918.3710986	3704.535654	788.0109334	2937.117304	798.4508846
690	3986.415002	569.5690546	2560.539497	828.7251583	3814.801623	823.1471772	2889.463922	789.1327719
700	3799.608368	786.7892343	2978.443082	1005.198119	3845.792608	835.0662291	2950.1992	815.0421881
710	4233.111609	843.245925	3099.149304	680.4344023	3854.064501	807.1672755	2975.15253	781.0135539
720	3951.977795	1018.928381	3554.37627	472.7601203	3715.399905	771.131293	2922.258151	786.1965431
730	2795.872241	944.9983798	2449.795216	885.2164092	3651.564492	779.223201	2736.630098	843.9781813
740	4121.824719	775.3520883	2694.480161	862.4624222	3830.03842	766.4457642	2800.93523	832.6160535
750	4172.360913	641.0833661	2924.951167	984.1816555	3851.386314	706.4586783	2886.318473	836.3142925
760	3849.239728	619.3955127	3128.163062	801.0263137	3749.130011	713.8354429	2997.132231	738.1718285
770	3401.124036	627.0300302	2781.783032	711.5323376	3685.746365	757.9323704	3104.876058	710.6498205
780	3568.965314	1067.479829	2440.607953	819.4499493	3657.601813	811.2244438	3217.817656	742.1318196
790	3866.715808	868.3337589	2835.626007	817.0436427	3698.652927	726.5834196	3271.825227	760.8053866
800	4249.912085	415.4295733	3206.779617	884.651856	3661.914082	673.9057152	3202.92416	737.5457503
810	3558.823096	685.3439534	3589.833716	395.3268715	3611.477626	719.8857416	3065.00801	742.1964793
820	3468.937854	883.9770776	3774.626025	635.894266	3669.127101	694.9138798	2999.232955	797.6959141
830	3232.25672	946.782471	3459.432617	900.4243323	3755.696011	655.3482392	2982.957473	873.4867736
840	3815.271997	559.6336835	2764.653381	931.491351	3945.950651	644.6687759	3005.249701	836.509231
850	3646.282739	552.2675325	2422.219601	677.4858252	3901.961068	639.579141	3070.410602	817.7750299
860	3947.293347	691.3097318	2379.282717	912.5562295	3872.659898	672.7948434	3359.077761	772.9881536
870	3904.719946	535.5127823	3195.183386	728.3234804	3924.207528	658.0158002	3520.712553	707.5399073
880	3988.351318	646.5832342	3676.973135	1090.639423	3931.206885	663.8956124	3530.683323	678.0598173
890	4373.784558	882.7056909	3593.185986	678.5590765	3967.792216	627.8877372	3382.675931	612.6056933
900	3551.334497	529.095874	3155.618783	819.0861446	3873.466334	622.8132188	3268.713653	630.6000379
910	3470.47572	751.5617472	4154.222559	408.7645671	3905.212367	613.4499315	3278.491164	564.7789206
920	4256.579126	602.6354726	3349.091467	519.8667518	3895.607559	649.5793411	3123.373185	622.3815356
930	3946.716089	570.7916557	3255.008008	551.4429408	3799.807485	714.1266736	3181.784804	696.3594295
940	4207.863306	430.5359827	2788.928784	697.914679	3827.488171	733.2767896	3133.50655	755.0020045
950	3807.829266	852.2585808	2909.412317	786.525144	3708.982422	771.7323655	3203.596535	784.4870089
960	3741.810693	472.91615	3214.28385	424.1594406	3689.213053	755.6271224	3262.433378	784.0793818
970	3412.846875	968.338205	3223.514685	754.3802571	3676.063643	826.3048656	3274.47076	874.0593671
980	3681.77868	989.9194675	3699.561182	963.7341152	3763.802565	778.9604191	3291.456119	913.9524038
990	4112.800207	685.692352	2965.33848	903.2983909	3804.814508	673.4808949	3087.403587	889.0615481
1000	3496.828809	661.2694378	3209.468695	874.8247053	3496.828809	661.2694378	3209.468695	874.8247053
